id,rank,Issue,Article ID,Tag ID,Article Title
38,4,1,magda-cordell-hchale,disciplines-science-and-technology,"Painting that Grows Back: Futures Past and the Ur-feminist Art of Magda Cordell McHale, 1955–1961"
38,4,1,magda-cordell-hchale,politics-and-economics-conflict-and-war,"Painting that Grows Back: Futures Past and the Ur-feminist Art of Magda Cordell McHale, 1955–1961"
38,4,1,magda-cordell-hchale,styles-and-movements-brutalism,"Painting that Grows Back: Futures Past and the Ur-feminist Art of Magda Cordell McHale, 1955–1961"
38,4,1,magda-cordell-hchale,styles-and-movements-abstraction,"Painting that Grows Back: Futures Past and the Ur-feminist Art of Magda Cordell McHale, 1955–1961"
14,5,1,bust-of-a-man,century-1700–1799,Haptic Blackness: The Double Life of an 18th-century Bust
14,5,1,bust-of-a-man,century-2000–present,Haptic Blackness: The Double Life of an 18th-century Bust
14,5,1,bust-of-a-man,north-america-united-states-of-america,Haptic Blackness: The Double Life of an 18th-century Bust
14,5,1,bust-of-a-man,europe-italy,Haptic Blackness: The Double Life of an 18th-century Bust
14,5,1,bust-of-a-man,cities-florence,Haptic Blackness: The Double Life of an 18th-century Bust
14,5,1,bust-of-a-man,cities-los-angeles,Haptic Blackness: The Double Life of an 18th-century Bust
14,5,1,bust-of-a-man,cities-new-haven,Haptic Blackness: The Double Life of an 18th-century Bust
14,5,1,bust-of-a-man,material-medium-and-technique-sculpture,Haptic Blackness: The Double Life of an 18th-century Bust
14,5,1,bust-of-a-man,material-medium-and-technique-found-objects,Haptic Blackness: The Double Life of an 18th-century Bust
14,5,1,bust-of-a-man,material-medium-and-technique-photography,Haptic Blackness: The Double Life of an 18th-century Bust
14,5,1,bust-of-a-man,disciplines-ethnography,Haptic Blackness: The Double Life of an 18th-century Bust
14,5,1,bust-of-a-man,places-museums-and-galleries,Haptic Blackness: The Double Life of an 18th-century Bust
14,5,1,bust-of-a-man,genres-portraiture,Haptic Blackness: The Double Life of an 18th-century Bust
14,5,1,bust-of-a-man,aesthetics-copies,Haptic Blackness: The Double Life of an 18th-century Bust
14,5,1,bust-of-a-man,history-slavery,Haptic Blackness: The Double Life of an 18th-century Bust
14,5,1,bust-of-a-man,disciplines-conservation-and-restoration,Haptic Blackness: The Double Life of an 18th-century Bust
14,5,1,bust-of-a-man,history-british-empire,Haptic Blackness: The Double Life of an 18th-century Bust
14,5,1,bust-of-a-man,politics-and-economics-racism,Haptic Blackness: The Double Life of an 18th-century Bust
14,5,1,bust-of-a-man,styles-and-movements-georgian,Haptic Blackness: The Double Life of an 18th-century Bust
40,6,1,arts-crafts,century-1800–1899,Arts and Crafts Painting: The Political Agency of Things
40,6,1,arts-crafts,europe-united-kingdom,Arts and Crafts Painting: The Political Agency of Things
40,6,1,arts-crafts,material-medium-and-technique-paintings,Arts and Crafts Painting: The Political Agency of Things
40,6,1,arts-crafts,material-medium-and-technique-design,Arts and Crafts Painting: The Political Agency of Things
40,6,1,arts-crafts,material-medium-and-technique-interior-decoration,Arts and Crafts Painting: The Political Agency of Things
40,6,1,arts-crafts,material-medium-and-technique-textiles,Arts and Crafts Painting: The Political Agency of Things
40,6,1,arts-crafts,material-medium-and-technique-ceramics,Arts and Crafts Painting: The Political Agency of Things
40,6,1,arts-crafts,disciplines-material-culture,Arts and Crafts Painting: The Political Agency of Things
40,6,1,arts-crafts,aesthetics-ornament,Arts and Crafts Painting: The Political Agency of Things
40,6,1,arts-crafts,methods-exhibition-histories,Arts and Crafts Painting: The Political Agency of Things
40,6,1,arts-crafts,styles-and-movements-victorian,Arts and Crafts Painting: The Political Agency of Things
40,6,1,arts-crafts,styles-and-movements-pre-raphaelitism,Arts and Crafts Painting: The Political Agency of Things
40,6,1,arts-crafts,styles-and-movements-arts-and-crafts-movement,Arts and Crafts Painting: The Political Agency of Things
17,7,1,deakin-double-exposures,century-1900–1999,Deakin: Double Exposures
17,7,1,deakin-double-exposures,uk-regions-london,Deakin: Double Exposures
17,7,1,deakin-double-exposures,material-medium-and-technique-photography,Deakin: Double Exposures
17,7,1,deakin-double-exposures,places-archives,Deakin: Double Exposures
17,7,1,deakin-double-exposures,people-and-identities-class,Deakin: Double Exposures
17,7,1,deakin-double-exposures,environments-cities,Deakin: Double Exposures
17,7,1,deakin-double-exposures,artistic-practice-artistic-process,Deakin: Double Exposures
17,7,1,deakin-double-exposures,people-and-identities-queer-cultures,Deakin: Double Exposures
17,7,1,deakin-double-exposures,artistic-practice-artistic-collaboration,Deakin: Double Exposures
17,7,1,deakin-double-exposures,people-and-identities-networks,Deakin: Double Exposures
17,7,1,deakin-double-exposures,styles-and-movements-modernism,Deakin: Double Exposures
17,7,1,deakin-double-exposures,styles-and-movements-surrealism,Deakin: Double Exposures
35,8,1,pregnant-wit,century-1500–1599,Pregnant Wit: 'ingegno' in Renaissance England
35,8,1,pregnant-wit,uk-regions-england,Pregnant Wit: 'ingegno' in Renaissance England
35,8,1,pregnant-wit,europe-italy,Pregnant Wit: 'ingegno' in Renaissance England
35,8,1,pregnant-wit,material-medium-and-technique-miniatures,Pregnant Wit: 'ingegno' in Renaissance England
35,8,1,pregnant-wit,material-medium-and-technique-prints,Pregnant Wit: 'ingegno' in Renaissance England
35,8,1,pregnant-wit,material-medium-and-technique-paintings,Pregnant Wit: 'ingegno' in Renaissance England
35,8,1,pregnant-wit,genres-portraiture,Pregnant Wit: 'ingegno' in Renaissance England
35,8,1,pregnant-wit,styles-and-movements-classicism,Pregnant Wit: 'ingegno' in Renaissance England
35,8,1,pregnant-wit,styles-and-movements-elizabethan,Pregnant Wit: 'ingegno' in Renaissance England
35,8,1,pregnant-wit,styles-and-movements-jacobean,Pregnant Wit: 'ingegno' in Renaissance England
39,9,1,lantern-slide,century-1800–1899,Varieties of Photographic Experience: Frederick H. Evans and the Lantern Slide
39,9,1,lantern-slide,century-1900–1999,Varieties of Photographic Experience: Frederick H. Evans and the Lantern Slide
39,9,1,lantern-slide,cities-lincoln,Varieties of Photographic Experience: Frederick H. Evans and the Lantern Slide
39,9,1,lantern-slide,material-medium-and-technique-architecture,Varieties of Photographic Experience: Frederick H. Evans and the Lantern Slide
39,9,1,lantern-slide,material-medium-and-technique-albums,Varieties of Photographic Experience: Frederick H. Evans and the Lantern Slide
39,9,1,lantern-slide,material-medium-and-technique-lantern-slides,Varieties of Photographic Experience: Frederick H. Evans and the Lantern Slide
39,9,1,lantern-slide,material-medium-and-technique-photography,Varieties of Photographic Experience: Frederick H. Evans and the Lantern Slide
39,9,1,lantern-slide,people-and-identities-christianity,Varieties of Photographic Experience: Frederick H. Evans and the Lantern Slide
39,9,1,lantern-slide,people-and-identities-mysticism,Varieties of Photographic Experience: Frederick H. Evans and the Lantern Slide
39,9,1,lantern-slide,disciplines-philosophy,Varieties of Photographic Experience: Frederick H. Evans and the Lantern Slide
39,9,1,lantern-slide,genres-religious-art-and-architecture,Varieties of Photographic Experience: Frederick H. Evans and the Lantern Slide
39,9,1,lantern-slide,styles-and-movements-edwardian,Varieties of Photographic Experience: Frederick H. Evans and the Lantern Slide
39,9,1,lantern-slide,styles-and-movements-gothic,Varieties of Photographic Experience: Frederick H. Evans and the Lantern Slide
39,9,1,lantern-slide,styles-and-movements-medieval,Varieties of Photographic Experience: Frederick H. Evans and the Lantern Slide
39,9,1,lantern-slide,styles-and-movements-victorian,Varieties of Photographic Experience: Frederick H. Evans and the Lantern Slide
36,10,1,abstractions-ecologies,century-1900–1999,"Abstraction’s Ecologies: Post-Industrialization, Waste and the Commodity Form in Prunella Clough’s Paintings of the 1980s and 1990s"
36,10,1,abstractions-ecologies,material-medium-and-technique-found-objects,"Abstraction’s Ecologies: Post-Industrialization, Waste and the Commodity Form in Prunella Clough’s Paintings of the 1980s and 1990s"
36,10,1,abstractions-ecologies,material-medium-and-technique-paintings,"Abstraction’s Ecologies: Post-Industrialization, Waste and the Commodity Form in Prunella Clough’s Paintings of the 1980s and 1990s"
36,10,1,abstractions-ecologies,material-medium-and-technique-photography,"Abstraction’s Ecologies: Post-Industrialization, Waste and the Commodity Form in Prunella Clough’s Paintings of the 1980s and 1990s"
36,10,1,abstractions-ecologies,methods-exhibition-histories,"Abstraction’s Ecologies: Post-Industrialization, Waste and the Commodity Form in Prunella Clough’s Paintings of the 1980s and 1990s"
36,10,1,abstractions-ecologies,disciplines-art-theory,"Abstraction’s Ecologies: Post-Industrialization, Waste and the Commodity Form in Prunella Clough’s Paintings of the 1980s and 1990s"
36,10,1,abstractions-ecologies,disciplines-material-culture,"Abstraction’s Ecologies: Post-Industrialization, Waste and the Commodity Form in Prunella Clough’s Paintings of the 1980s and 1990s"
36,10,1,abstractions-ecologies,environments-waste,"Abstraction’s Ecologies: Post-Industrialization, Waste and the Commodity Form in Prunella Clough’s Paintings of the 1980s and 1990s"
36,10,1,abstractions-ecologies,politics-and-economics-commodities,"Abstraction’s Ecologies: Post-Industrialization, Waste and the Commodity Form in Prunella Clough’s Paintings of the 1980s and 1990s"
42,11,1,cover-collaboration,century-1900–1999,British Art Show 8
42,11,1,cover-collaboration,century-2000–present,British Art Show 8
42,11,1,cover-collaboration,europe-united-kingdom,British Art Show 8
42,11,1,cover-collaboration,material-medium-and-technique-publications-and-print-ephemera,British Art Show 8
42,11,1,cover-collaboration,methods-exhibition-histories,British Art Show 8
42,11,1,cover-collaboration,disciplines-curating,British Art Show 8
93,1,2,editorial-2,material-medium-and-technique-publications-and-print-ephemera,Editorial
79,2,2,cleveland-house,century-1800–1899,Changing Subjects: The Gallery at Cleveland House and the Highland Clearances
79,2,2,cleveland-house,europe-united-kingdom,Changing Subjects: The Gallery at Cleveland House and the Highland Clearances
79,2,2,cleveland-house,uk-regions-scotland,Changing Subjects: The Gallery at Cleveland House and the Highland Clearances
79,2,2,cleveland-house,material-medium-and-technique-paintings,Changing Subjects: The Gallery at Cleveland House and the Highland Clearances
79,2,2,cleveland-house,material-medium-and-technique-publications-and-print-ephemera,Changing Subjects: The Gallery at Cleveland House and the Highland Clearances
79,2,2,cleveland-house,methods-exhibition-histories,Changing Subjects: The Gallery at Cleveland House and the Highland Clearances
79,2,2,cleveland-house,politics-and-economics-british-monarchy-and-aristocracy,Changing Subjects: The Gallery at Cleveland House and the Highland Clearances
79,2,2,cleveland-house,audiences-audiences,Changing Subjects: The Gallery at Cleveland House and the Highland Clearances
79,2,2,cleveland-house,people-and-identities-class,Changing Subjects: The Gallery at Cleveland House and the Highland Clearances
79,2,2,cleveland-house,environments-agriculture,Changing Subjects: The Gallery at Cleveland House and the Highland Clearances
92,3,2,still-invisible,europe-united-kingdom,Still Invisible?
92,3,2,still-invisible,north-america-united-states-of-america,Still Invisible?
92,3,2,still-invisible,politics-and-economics-activism-and-protest,Still Invisible?
92,3,2,still-invisible,audiences-collecting,Still Invisible?
92,3,2,still-invisible,disciplines-curating,Still Invisible?
92,3,2,still-invisible,methods-data-analysis,Still Invisible?
92,3,2,still-invisible,methods-exhibition-histories,Still Invisible?
92,3,2,still-invisible,politics-and-economics-feminism,Still Invisible?
92,3,2,still-invisible,people-and-identities-gender,Still Invisible?
92,3,2,still-invisible,places-museums-and-galleries,Still Invisible?
85,4,2,canaletto-colour,century-1700–1799,"Canaletto's Colour: the inspiration and implications of changing grounds, pigments and paint application in the artist's English period"
85,4,2,canaletto-colour,europe-italy,"Canaletto's Colour: the inspiration and implications of changing grounds, pigments and paint application in the artist's English period"
85,4,2,canaletto-colour,cities-venice,"Canaletto's Colour: the inspiration and implications of changing grounds, pigments and paint application in the artist's English period"
85,4,2,canaletto-colour,cities-new-haven,"Canaletto's Colour: the inspiration and implications of changing grounds, pigments and paint application in the artist's English period"
85,4,2,canaletto-colour,uk-regions-london,"Canaletto's Colour: the inspiration and implications of changing grounds, pigments and paint application in the artist's English period"
85,4,2,canaletto-colour,material-medium-and-technique-paintings,"Canaletto's Colour: the inspiration and implications of changing grounds, pigments and paint application in the artist's English period"
85,4,2,canaletto-colour,material-medium-and-technique-pigments,"Canaletto's Colour: the inspiration and implications of changing grounds, pigments and paint application in the artist's English period"
85,4,2,canaletto-colour,disciplines-technical-art-history,"Canaletto's Colour: the inspiration and implications of changing grounds, pigments and paint application in the artist's English period"
85,4,2,canaletto-colour,artistic-practice-artistic-process,"Canaletto's Colour: the inspiration and implications of changing grounds, pigments and paint application in the artist's English period"
85,4,2,canaletto-colour,audiences-collecting,"Canaletto's Colour: the inspiration and implications of changing grounds, pigments and paint application in the artist's English period"
85,4,2,canaletto-colour,disciplines-conservation-and-restoration,"Canaletto's Colour: the inspiration and implications of changing grounds, pigments and paint application in the artist's English period"
85,4,2,canaletto-colour,styles-and-movements-georgian,"Canaletto's Colour: the inspiration and implications of changing grounds, pigments and paint application in the artist's English period"
81,5,2,high-art-high-stakes,century-1700–1799,High Art and High Stakes: The 3rd Duke of Dorset’s Gamble on Reynolds
81,5,2,high-art-high-stakes,europe-united-kingdom,High Art and High Stakes: The 3rd Duke of Dorset’s Gamble on Reynolds
81,5,2,high-art-high-stakes,material-medium-and-technique-paintings,High Art and High Stakes: The 3rd Duke of Dorset’s Gamble on Reynolds
81,5,2,high-art-high-stakes,audiences-collecting,High Art and High Stakes: The 3rd Duke of Dorset’s Gamble on Reynolds
81,5,2,high-art-high-stakes,genres-portraiture,High Art and High Stakes: The 3rd Duke of Dorset’s Gamble on Reynolds
81,5,2,high-art-high-stakes,places-country-houses,High Art and High Stakes: The 3rd Duke of Dorset’s Gamble on Reynolds
81,5,2,high-art-high-stakes,audiences-art-market,High Art and High Stakes: The 3rd Duke of Dorset’s Gamble on Reynolds
81,5,2,high-art-high-stakes,politics-and-economics-british-monarchy-and-aristocracy,High Art and High Stakes: The 3rd Duke of Dorset’s Gamble on Reynolds
81,5,2,high-art-high-stakes,aesthetics-luxury,High Art and High Stakes: The 3rd Duke of Dorset’s Gamble on Reynolds
81,5,2,high-art-high-stakes,styles-and-movements-georgian,High Art and High Stakes: The 3rd Duke of Dorset’s Gamble on Reynolds
87,6,2,longitude,century-1700–1799,Looking for “the Longitude”
87,6,2,longitude,uk-regions-london,Looking for “the Longitude”
87,6,2,longitude,material-medium-and-technique-maps,Looking for “the Longitude”
87,6,2,longitude,material-medium-and-technique-prints,Looking for “the Longitude”
87,6,2,longitude,material-medium-and-technique-publications-and-print-ephemera,Looking for “the Longitude”
87,6,2,longitude,material-medium-and-technique-paintings,Looking for “the Longitude”
87,6,2,longitude,disciplines-science-and-technology,Looking for “the Longitude”
87,6,2,longitude,politics-and-economics-nationalism,Looking for “the Longitude”
87,6,2,longitude,history-british-empire,Looking for “the Longitude”
87,6,2,longitude,styles-and-movements-georgian,Looking for “the Longitude”
91,7,2,sargent-conservation,century-1800–1899,"Carnation, Lily, Lily, Rose' and the process of painting"
91,7,2,sargent-conservation,europe-united-kingdom,"Carnation, Lily, Lily, Rose' and the process of painting"
91,7,2,sargent-conservation,material-medium-and-technique-paintings,"Carnation, Lily, Lily, Rose' and the process of painting"
91,7,2,sargent-conservation,material-medium-and-technique-drawing,"Carnation, Lily, Lily, Rose' and the process of painting"
91,7,2,sargent-conservation,disciplines-conservation-and-restoration,"Carnation, Lily, Lily, Rose' and the process of painting"
91,7,2,sargent-conservation,disciplines-technical-art-history,"Carnation, Lily, Lily, Rose' and the process of painting"
91,7,2,sargent-conservation,environments-nature,"Carnation, Lily, Lily, Rose' and the process of painting"
91,7,2,sargent-conservation,people-and-identities-children,"Carnation, Lily, Lily, Rose' and the process of painting"
91,7,2,sargent-conservation,artistic-practice-artistic-process,"Carnation, Lily, Lily, Rose' and the process of painting"
91,7,2,sargent-conservation,styles-and-movements-victorian,"Carnation, Lily, Lily, Rose' and the process of painting"
83,8,2,conversations-chimneypieces,century-1700–1799,Conversations and Chimneypieces: the imagery of the hearth in eighteenth-century English family portraiture
83,8,2,conversations-chimneypieces,uk-regions-england,Conversations and Chimneypieces: the imagery of the hearth in eighteenth-century English family portraiture
83,8,2,conversations-chimneypieces,material-medium-and-technique-paintings,Conversations and Chimneypieces: the imagery of the hearth in eighteenth-century English family portraiture
83,8,2,conversations-chimneypieces,material-medium-and-technique-architecture,Conversations and Chimneypieces: the imagery of the hearth in eighteenth-century English family portraiture
83,8,2,conversations-chimneypieces,material-medium-and-technique-prints,Conversations and Chimneypieces: the imagery of the hearth in eighteenth-century English family portraiture
83,8,2,conversations-chimneypieces,people-and-identities-class,Conversations and Chimneypieces: the imagery of the hearth in eighteenth-century English family portraiture
83,8,2,conversations-chimneypieces,aesthetics-allegory,Conversations and Chimneypieces: the imagery of the hearth in eighteenth-century English family portraiture
83,8,2,conversations-chimneypieces,aesthetics-ornament,Conversations and Chimneypieces: the imagery of the hearth in eighteenth-century English family portraiture
83,8,2,conversations-chimneypieces,environments-domesticity,Conversations and Chimneypieces: the imagery of the hearth in eighteenth-century English family portraiture
83,8,2,conversations-chimneypieces,styles-and-movements-georgian,Conversations and Chimneypieces: the imagery of the hearth in eighteenth-century English family portraiture
83,8,2,conversations-chimneypieces,styles-and-movements-classicism,Conversations and Chimneypieces: the imagery of the hearth in eighteenth-century English family portraiture
82,9,2,copley-prints,century-1700–1799,John Singleton Copley and the World of Prints
82,9,2,copley-prints,europe-united-kingdom,John Singleton Copley and the World of Prints
82,9,2,copley-prints,north-america-united-states-of-america,John Singleton Copley and the World of Prints
82,9,2,copley-prints,cities-boston,John Singleton Copley and the World of Prints
82,9,2,copley-prints,material-medium-and-technique-paintings,John Singleton Copley and the World of Prints
82,9,2,copley-prints,material-medium-and-technique-prints,John Singleton Copley and the World of Prints
82,9,2,copley-prints,genres-history-painting,John Singleton Copley and the World of Prints
82,9,2,copley-prints,history-british-empire,John Singleton Copley and the World of Prints
82,9,2,copley-prints,genres-portraiture,John Singleton Copley and the World of Prints
82,9,2,copley-prints,aesthetics-copies,John Singleton Copley and the World of Prints
82,9,2,copley-prints,environments-travel,John Singleton Copley and the World of Prints
82,9,2,copley-prints,styles-and-movements-georgian,John Singleton Copley and the World of Prints
86,10,2,khan,century-1900–1999,Yale Center for British Art
86,10,2,khan,century-2000–present,Yale Center for British Art
86,10,2,khan,north-america-united-states-of-america,Yale Center for British Art
86,10,2,khan,cities-new-haven,Yale Center for British Art
86,10,2,khan,material-medium-and-technique-architecture,Yale Center for British Art
86,10,2,khan,disciplines-conservation-and-restoration,Yale Center for British Art
86,10,2,khan,styles-and-movements-brutalism,Yale Center for British Art
115,1,3,curtis-droth,century-1900–1999,British Sculpture Abroad: An Introduction
115,1,3,curtis-droth,century-2000–present,British Sculpture Abroad: An Introduction
115,1,3,curtis-droth,europe-united-kingdom,British Sculpture Abroad: An Introduction
115,1,3,curtis-droth,politics-and-economics-nationalism,British Sculpture Abroad: An Introduction
94,2,3,1945-1960,century-1900–1999,"The Promotion and Reception of British Sculpture Abroad, 1948–1960: Herbert Read, Henry Moore, Barbara Hepworth, and the “Young British Sculptors”"
94,2,3,1945-1960,europe-united-kingdom,"The Promotion and Reception of British Sculpture Abroad, 1948–1960: Herbert Read, Henry Moore, Barbara Hepworth, and the “Young British Sculptors”"
94,2,3,1945-1960,europe-germany,"The Promotion and Reception of British Sculpture Abroad, 1948–1960: Herbert Read, Henry Moore, Barbara Hepworth, and the “Young British Sculptors”"
94,2,3,1945-1960,south-america-brazil,"The Promotion and Reception of British Sculpture Abroad, 1948–1960: Herbert Read, Henry Moore, Barbara Hepworth, and the “Young British Sculptors”"
94,2,3,1945-1960,europe-russia,"The Promotion and Reception of British Sculpture Abroad, 1948–1960: Herbert Read, Henry Moore, Barbara Hepworth, and the “Young British Sculptors”"
94,2,3,1945-1960,cities-sao-paulo,"The Promotion and Reception of British Sculpture Abroad, 1948–1960: Herbert Read, Henry Moore, Barbara Hepworth, and the “Young British Sculptors”"
94,2,3,1945-1960,cities-rio-de-janeiro,"The Promotion and Reception of British Sculpture Abroad, 1948–1960: Herbert Read, Henry Moore, Barbara Hepworth, and the “Young British Sculptors”"
94,2,3,1945-1960,cities-buenos-aires,"The Promotion and Reception of British Sculpture Abroad, 1948–1960: Herbert Read, Henry Moore, Barbara Hepworth, and the “Young British Sculptors”"
94,2,3,1945-1960,cities-venice,"The Promotion and Reception of British Sculpture Abroad, 1948–1960: Herbert Read, Henry Moore, Barbara Hepworth, and the “Young British Sculptors”"
94,2,3,1945-1960,cities-kassel,"The Promotion and Reception of British Sculpture Abroad, 1948–1960: Herbert Read, Henry Moore, Barbara Hepworth, and the “Young British Sculptors”"
94,2,3,1945-1960,cities-berlin,"The Promotion and Reception of British Sculpture Abroad, 1948–1960: Herbert Read, Henry Moore, Barbara Hepworth, and the “Young British Sculptors”"
94,2,3,1945-1960,material-medium-and-technique-sculpture,"The Promotion and Reception of British Sculpture Abroad, 1948–1960: Herbert Read, Henry Moore, Barbara Hepworth, and the “Young British Sculptors”"
94,2,3,1945-1960,audiences-reception,"The Promotion and Reception of British Sculpture Abroad, 1948–1960: Herbert Read, Henry Moore, Barbara Hepworth, and the “Young British Sculptors”"
94,2,3,1945-1960,politics-and-economics-nationalism,"The Promotion and Reception of British Sculpture Abroad, 1948–1960: Herbert Read, Henry Moore, Barbara Hepworth, and the “Young British Sculptors”"
94,2,3,1945-1960,politics-and-economics-conflict-and-war,"The Promotion and Reception of British Sculpture Abroad, 1948–1960: Herbert Read, Henry Moore, Barbara Hepworth, and the “Young British Sculptors”"
94,2,3,1945-1960,methods-exhibition-histories,"The Promotion and Reception of British Sculpture Abroad, 1948–1960: Herbert Read, Henry Moore, Barbara Hepworth, and the “Young British Sculptors”"
94,2,3,1945-1960,disciplines-curating,"The Promotion and Reception of British Sculpture Abroad, 1948–1960: Herbert Read, Henry Moore, Barbara Hepworth, and the “Young British Sculptors”"
94,2,3,1945-1960,styles-and-movements-modernism,"The Promotion and Reception of British Sculpture Abroad, 1948–1960: Herbert Read, Henry Moore, Barbara Hepworth, and the “Young British Sculptors”"
99,3,3,moore-belgrade,century-1900–1999,"Henry Moore's Exhibition in Yugoslavia, 1955"
99,3,3,moore-belgrade,europe-croatia,"Henry Moore's Exhibition in Yugoslavia, 1955"
99,3,3,moore-belgrade,cities-belgrade,"Henry Moore's Exhibition in Yugoslavia, 1955"
99,3,3,moore-belgrade,cities-venice,"Henry Moore's Exhibition in Yugoslavia, 1955"
99,3,3,moore-belgrade,cities-zagreb,"Henry Moore's Exhibition in Yugoslavia, 1955"
99,3,3,moore-belgrade,cities-ljubljana,"Henry Moore's Exhibition in Yugoslavia, 1955"
99,3,3,moore-belgrade,material-medium-and-technique-sculpture,"Henry Moore's Exhibition in Yugoslavia, 1955"
99,3,3,moore-belgrade,audiences-reception,"Henry Moore's Exhibition in Yugoslavia, 1955"
99,3,3,moore-belgrade,politics-and-economics-nationalism,"Henry Moore's Exhibition in Yugoslavia, 1955"
99,3,3,moore-belgrade,politics-and-economics-conflict-and-war,"Henry Moore's Exhibition in Yugoslavia, 1955"
99,3,3,moore-belgrade,methods-exhibition-histories,"Henry Moore's Exhibition in Yugoslavia, 1955"
99,3,3,moore-belgrade,styles-and-movements-modernism,"Henry Moore's Exhibition in Yugoslavia, 1955"
100,4,3,sao-paolo-hepworth,century-1900–1999,Barbara Hepworth in Brazil
100,4,3,sao-paolo-hepworth,south-america-brazil,Barbara Hepworth in Brazil
100,4,3,sao-paolo-hepworth,cities-sao-paulo,Barbara Hepworth in Brazil
100,4,3,sao-paolo-hepworth,material-medium-and-technique-sculpture,Barbara Hepworth in Brazil
100,4,3,sao-paolo-hepworth,audiences-reception,Barbara Hepworth in Brazil
100,4,3,sao-paolo-hepworth,politics-and-economics-nationalism,Barbara Hepworth in Brazil
100,4,3,sao-paolo-hepworth,politics-and-economics-conflict-and-war,Barbara Hepworth in Brazil
100,4,3,sao-paolo-hepworth,methods-exhibition-histories,Barbara Hepworth in Brazil
100,4,3,sao-paolo-hepworth,styles-and-movements-modernism,Barbara Hepworth in Brazil
121,5,3,chadwick-armitage-butler,century-1900–1999,"British Sculpture Exhibited at the Venice Biennale after the Second World War, and its Impact on the Work of Italian Sculptors"
121,5,3,chadwick-armitage-butler,europe-italy,"British Sculpture Exhibited at the Venice Biennale after the Second World War, and its Impact on the Work of Italian Sculptors"
